poison_rate,poison_percent,num_poisoned_maps,poison_strength_std,best_epoch,final_train_mse_normalized,best_validation_mse_normalized,validation_rmse,degradation_percent
0.0,0.0,0,0.5,11,0.0030547195457588027,0.0030745892216347986,0.01680666085170795,0.0
0.01,1.0,7,0.5,11,0.005756172611685106,0.003071921065242754,0.01679936678259533,-0.043399870902247645
0.05,5.0,36,0.5,11,0.016631444447866364,0.003144137364708715,0.016995683779602387,1.1246905590721772
0.1,10.0,72,0.5,11,0.02992516625984754,0.0032453625825130277,0.017267103750210785,2.7396453261329707
0.2,20.0,144,0.5,12,0.056416575489929933,0.0034096926347249082,0.01769886847477174,5.308654889487589
