epsilon,rmse,degradation_percent
0.0,0.016806661031983694,0.0
0.005,0.01783851709854689,6.139566119644687
0.01,0.019015189958342393,13.140795320116158
0.02,0.02170605611549803,29.15150769204309
0.05,0.03134615235182636,86.51029072445432
